Name,Description,Aliases,Driver,Confidentiality,Endpoint,Properties,Website,Monitor,MonitorWebsite,Languages
IMF,International Monetary Fund,,DIALECTS_IMF,PUBLIC,http://dataservices.imf.org/REST/SDMX_XML.svc,,https://data.imf.org,upptime:/nbbrd/sdmx-upptime/IMF,https://nbbrd.github.io/sdmx-upptime/history/imf,en
IMF_SDMX_CENTRAL,International Monetary Fund (SDMX Central),,RI_SDMX21,PUBLIC,https://sdmxcentral.imf.org/ws/public/sdmxapi/rest,sdmxdl.driver.detailSupported=true,https://data.imf.org,upptime:/nbbrd/sdmx-upptime/IMF_SDMX_CENTRAL,https://nbbrd.github.io/sdmx-upptime/history/imf-sdmx-central,"en,fr"
INEGI,"National Institute of Statistics, Geography and Informatics",,RI_SDMX21,PUBLIC,https://sdmx.snieg.mx/ServiceV6/rest,"sdmxdl.driver.detailSupported=true,sdmxdl.driver.trailingSlash=true",https://sdmx.snieg.mx,upptime:/nbbrd/sdmx-upptime/INEGI,https://nbbrd.github.io/sdmx-upptime/history/inegi,"en,es"
INSEE,National Institute of Statistics and Economic Studies,,DIALECTS_INSEE,PUBLIC,https://bdm.insee.fr/series/sdmx,,https://www.insee.fr/fr/statistiques,upptime:/nbbrd/sdmx-upptime/INSEE,https://nbbrd.github.io/sdmx-upptime/history/insee,"en,fr"
ISTAT,Italian National Institute of Statistics,,RI_SDMX21,PUBLIC,https://esploradati.istat.it/SDMXWS/rest,sdmxdl.driver.detailSupported=true,https://esploradati.istat.it/databrowser/,upptime:/nbbrd/sdmx-upptime/ISTAT,https://nbbrd.github.io/sdmx-upptime/history/istat,"en,it"
JORDBRUKSVERKET,The Swedish Agricultural Agency,,PX_PXWEB,PUBLIC,https://statistik.sjv.se/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=sv",https://statistik.sjv.se/PXWeb/pxweb/sv/,,,en
KONJ,The Swedish National Institute of Economic Research,,PX_PXWEB,PUBLIC,http://statistik.konj.se/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,sv""",http://statistik.konj.se/PxWeb/pxweb/en/,,,en
KONJFORCAST,"The Swedish national institute of economic research, forecast database",,PX_PXWEB,PUBLIC,http://prognos.konj.se/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=sv",http://prognos.konj.se/PxWeb/pxweb/en/,,,en
LINKOPING,Linköping municipality in Sweden,,PX_PXWEB,PUBLIC,http://statistik.linkoping.se/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=sv",http://statistik.linkoping.se/PXWeb/pxweb/en/,,,en
LUKE,LUKE Natural Resources Institute Finland,,PX_PXWEB,PUBLIC,http://statdb.luke.fi/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,fi,sv""",https://statdb.luke.fi/PxWeb/pxweb/en/,,,en
MAKSTAT,State Statistical Office of the Republic of Macedonia,,PX_PXWEB,PUBLIC,https://makstat.stat.gov.mk/PXWeb/api/_VERSION_/_LANG_/MakStat/,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=""en,mk""",https://makstat.stat.gov.mk/PXWeb/pxweb/en/,,,en
NB,Norges Bank,,RI_SDMX21,PUBLIC,https://data.norges-bank.no/api,sdmxdl.driver.detailSupported=true,https://www.norges-bank.no/en/topics/Statistics/,upptime:/nbbrd/sdmx-upptime/NB,https://nbbrd.github.io/sdmx-upptime/history/nb,"en,no"
NBB,National Bank of Belgium,,DIALECTS_NBB,PUBLIC,https://stat.nbb.be/restsdmx/sdmx.ashx,,https://stat.nbb.be,upptime:/nbbrd/sdmx-upptime/NBB,https://nbbrd.github.io/sdmx-upptime/history/nbb,"en,de,fr,nl"
OECD,The Organisation for Economic Co-operation and Development,,RI_SDMX21,PUBLIC,https://sdmx.oecd.org/public/rest,sdmxdl.driver.detailSupported=true,https://data-explorer.oecd.org/,upptime:/nbbrd/sdmx-upptime/OECD,https://nbbrd.github.io/sdmx-upptime/history/oecd,"en,es,fr,it"
PXWEBAPI2_STAT_FI,Statistics Finland (old version),,PX_PXWEB,PUBLIC,https://pxwebapi2.stat.fi/PXWeb/api/_VERSION_/_LANG_,"sdmxdl.driver.versions=v1,sdmxdl.driver.languages=fi",,,,en
